pval	direction	color
0.009817177118125471	0	black
6.73316742327036e-4	0	black
0.0401466744650294	0	black
0.024156434038747492	0	black
3.438187668571548e-6	0	black
0.009817177118125471	0	black
7.278690082491756e-6	0	black
6.73316742327036e-4	0	black
4.740695694068953e-5	0	black
0.011919336732562697	0	black
1.9468177490366606e-5	0	black
0.028222379164611004	0	black
0.022366458305293203	0	black
0.03212177503350589	0	black
3.1260724439196506e-5	0	black
0.020176588968668	0	black
1.6161824973695907e-4	0	black
0.0401466744650294	0	black
0.017713686835596803	0	black
0.017713686835596803	0	black
3.613380636000119e-6	0	black
0.0010020301133358597	0	black
0.00809919969031234	0	black
0.007550799424425001	0	black
0.009206842890692792	0	black
0.0034721985684104295	0	black
2.0398325890075402e-8	0	black
2.0398325890075402e-8	0	black
4.773762027177389e-8	0	black
5.157849103578687e-7	0	black
8.898038289521991e-8	0	black
0.0034721985684104295	0	black
5.215161963989595e-6	0	black
1.0984182165460404e-4	0	black
0.013911684912519401	0	black
3.098838168790578e-5	0	black
0.017713686835596803	0	black
0.0067845897406529215	0	black
0.017713686835596803	0	black
6.73316742327036e-4	0	black
0.031860672502070406	0	black
0.02818125214465519	0	black
7.124622791170466e-4	0	black
2.5978115337254497e-4	0	black
0.0026460299392935403	0	black
0.004346348794588382	0	black
3.4660660787747986e-4	0	black
1.7748279551067992e-4	0	black
0.03212177503350589	0	black
1.8006635617510705e-6	0	black
0.04441275906822409	0	black
0.007441689468215757	0	black
3.579202442146419e-4	0	black
8.04470648081823e-4	0	black
8.968700179360965e-4	0	black
6.73316742327036e-4	0	black
0.0068093749124969365	0	black
0.017045140225767398	0	black
0.006337035110048839	0	black
0.009817177118125471	0	black
0.0012241429893342904	0	black
0.0200639655165762	0	black
0.011919336732562697	0	black
0.025226858816935104	0	black
